,Link,Title,Company,Location,Salary,Days
158,https://in.indeed.com/rc/clk?jk=aa2f166d511ade0d&fccid=afe30394bfba1470&vjs=3,Process Associate - Data Analyst,Genpact,"Noida, Uttar Pradesh",N/A,PostedPosted 30+ days ago
160,https://in.indeed.com/rc/clk?jk=8252c8c78d3a7898&fccid=a4e4e2eaf26690c9&vjs=3,Analyst-Clinical Data Management (CDM),Accenture,"Mumbai, Maharashtra",N/A,PostedPosted 30+ days ago
161,https://in.indeed.com/rc/clk?jk=261d6676397a629c&fccid=e519f31a40d4d647&vjs=3,Analyst - Data Analysis,SmartAnalyst,"Gurgaon, Haryana",N/A,PostedPosted 30+ days ago
162,https://in.indeed.com/rc/clk?jk=56d07484bf0c3938&fccid=7597605dfb58f18e&vjs=3,Data Analyst,Bsharp Sales Enablers,"Remote in Bengaluru, Karnataka",N/A,PostedPosted 30+ days ago
163,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DaDeacnyAcjR_xPF4_AGi9kgHcHfBbAiGbTrdK88lQNY5pQ5uyVl0a5mOI3CuhKFh9WmIRd5lkl0Noahv2VpY27dDMU3MbknFFQ0W0uPuJmKnaszetuVvkmkYEZxelouqpobHsO6FMfGwRo2S-XiZClv8GU1oh6yppwtjsJPQ3ohDB4VNQqAIx9w5N_Sue_hY1fr--SMlG8fjF_kQBQ8OwJ5RWWzqJGd2q0lgXBjnDpuKw5WsXWR-y-09P5CVuHkaA9UX8xE1s4Xg5wTmhA55tX6VsK6WPJW68xHuH5Q1CbzZrNZ4ulXsdIpMnXS4TbNG0_bBrGnEBdP0EXBoCQI78oLINLhWa4pCLbCQMV2Ju-kbfU_X31m8yDV98yyn-gjYoIPUO3nOjKPLUVqb1yewtBPpAFYb29YwUHJ59M0jtWTHaadyzI9gj6mRlwE1G8VZ3d4IYx5W3bH3CSf2bVpag06OMCJbq0nPzYmQIb2EBp6BK1yNh5aDEfFGlmc_D5A25VI2qOgOMDiywQGOqSAbde-W-XFZP8KCYRi7jb7RScMaWY17Xh3IiAYGUorQiT9MFgysHko3zJXd7024Tatez3VomH5Yhmj2-x9x7NgC6X8TJ-AjGi4ERxyUNT_n1-X1eP96pwYfjVacXJSnkspSQZM1q7jfRnZzRkmQ8yfHCZrSBA8KuAJsqeYucx3vEztque5OGOy5I3VdMluoa6E2Y5R2DmSn93BxepuxuM45yuMl5quwwDhElck8AUHZBUFtxqTHaapQW6adTd5v2lLDFRMqQ7XzhQNye7rso-Di4ocdzvoDGXjsl-ACd3hF9FolF9o2POdJaJjcGwYqVDuRz8ISQRGUTwY3VtpSsi14n0O9j4bkP32aunrvUcZhq1686IjN62QfI53Mx3bvIUfVtAcnYo1jb3qEmp4MFyeVmWG72jp2eolasrBXadywARIYN34srZ_lm3BV6zgHOIRo8v7WTTvdjZY9j-bduqkPq2Ariku_DlZav&xkcb=SoCH-_M3UsUQu7RZdJ0PbzkdCdPP&p=12&fvj=0&vjs=3,Sr. Business Analyst - Celonis Job,Yash Technologies Private Limited,"Pune, Maharashtra",N/A,PostedPosted 10 days ago
164,https://in.indeed.com/rc/clk?jk=87842db502364be4&fccid=4a3d46e28f0964e5&vjs=3,Process Developer– Data Analyst,Marktine Technology Solutions,Remote,N/A,PostedPosted 30+ days ago
165,https://in.indeed.com/rc/clk?jk=d7c0b742cfe90fe4&fccid=de56d7554bea5214&vjs=3,Research Analyst,Jacobs,"Gurgaon, Haryana",N/A,PostedPosted 4 days ago
166,https://in.indeed.com/rc/clk?jk=68e36a5fcb42a330&fccid=602e475c44894a70&vjs=3,Junior Data Analyst,Millennium,"Bengaluru, Karnataka",N/A,PostedPosted 30+ days ago
167,https://in.indeed.com/rc/clk?jk=7e440f9f0fbc4644&fccid=86ea1b00191f0b54&vjs=3,"Analyst, Sexual & Reproductive Health",Clinton Health Access Initiative,"Temporarily Remote in New Delhi, Delhi",N/A,PostedPosted 9 days ago
168,https://in.indeed.com/rc/clk?jk=3be64d427dd3a749&fccid=65a610215742c669&vjs=3,MI Analyst,American Express Global Business Travel,"Gurgaon, Haryana",N/A,PostedPosted 29 days ago
170,https://in.indeed.com/rc/clk?jk=c7740e2ce9f9d7c8&fccid=cab3f8c3740a190d&vjs=3,Data Research Analyst,fluidonomics Solutions,"Remote in Pune, Maharashtra",N/A,PostedPosted 14 days ago
171,https://in.indeed.com/rc/clk?jk=d4f530c610541b96&fccid=1544766d4c2915b0&vjs=3,Trainee - Tech Consulting - National - Data & Analytics - New Delhi,EY,"New Delhi, Delhi",N/A,PostedPosted 30+ days ago
172,https://in.indeed.com/rc/clk?jk=e71feffcc6e3655d&fccid=9ab138c02aaca829&vjs=3,Data Analyst,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka",N/A,PostedPosted 30+ days ago
173,https://in.indeed.com/rc/clk?jk=623c6080f7c30a72&fccid=71cee6dec7f0dacb&vjs=3,Data Analyst,Decision Tree,"Gurgaon, Haryana",N/A,PostedPosted 30+ days ago
174,https://in.indeed.com/rc/clk?jk=52cff823b88df874&fccid=978d9fd9799d55a8&vjs=3,Data Analyst – 2023 Summer Intern,PayPal,"Bengaluru, Karnataka+1 location",N/A,PostedPosted 1 day ago
177,https://in.indeed.com/rc/clk?jk=5194cf0627ab97a9&fccid=a3f737e511d9fc8c&vjs=3,Analyst - Data Science,Visa,"Temporarily Remote in Mumbai, Maharashtra",N/A,PostedPosted 30 days ago
178,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DaDeacnyAcjR_xPF4_AGi9kgHcHfBbAiGbTrdK88lQNY5pQ5uyVl0a5mOI3CuhKFh9WmIRd5lkl0Noahv2VpY27dDMU3MbknFFQ0W0uPuJmKnaszetuVvkmkYEZxelouqpobHsO6FMfGwRo2S-XiZClv8GU1oh6yqYxVe1DG8rz4zv1rmsEb4VF5LqWs0aJuAzpVSSFHmnUgNv2kR2kF29wTH8omG4g3pYEi6xbZL7KkjfSMHRi7EZak60KXG7Yo7OSkcV-ssJJm6Xehxsqw8I1gp-OrtFvvxADIbJsdOO8wLmOQGw8DDdN0xNWKXe_3CpKajkqAbYQWLxtvBit4oFlys9KZ1VTX_gzmmgGEpFaD3ofw5gaAwzoQp7M4SpJs0g-qFqLVoiYfOnfS4Q27m2LZoD0wytivQNXE69Pmbq0izRVeRviflcDtNDgMzk_A9rivsLNbl5vh5qfW33fNjPHLxqVbdzUPNLm9Zvf6Lr364k8zr49dPtniPk2Ni9tTwL9-LZJe8uc2i96Iivjb9h-Wotb44QeRNAkWCBA-HgC9t57aBOMGb53hciProgra3hOQDJBnZF042sZoSWbdNsoYRppZ02H_FPC_evaewsTeQnSUZ3fuWF62lrDsC5Q_pS_YcWNUFGXybB71pWWDSpEZUDJnpRma0aT_Xy6BpU9dNydtd_a9JrEtfjfpg9h-LzCDhLxJCY_iu2HwbitmoxgC0FfOHpG2OdPNqZs91-SmkML9eyfImJaKCjnDWb7RCFHZ3JvDiOpXQ3GyDOvnNA4IpwEelrEYIRV3rOioK8_AEMHNfAHwc2GZd86r8YwnStU1myL4oExecZQ7vk8NOwN3oTITQPJnm6TipDlaT5FxlCZwnl77E_sYeB75cbyeIdGnlwenKGOy_Qkjun4f9guFgCSr011Q0wrZ0BeUV6xHi4feP_YpC6qT2zoj3ca03TWDK0qcZFnRSbDz4S5imw-lEhLaAkcTkvsYCEWa3gceIyTCQu3GmF&xkcb=SoBA-_M3UsUQZ3wsRx0IbzkdCdPP&p=12&fvj=0&vjs=3,Sr. Business Analyst - Celonis Job,Yash Technologies Private Limited,"Pune, Maharashtra",N/A,PostedPosted 10 days ago
179,https://in.indeed.com/rc/clk?jk=ac1962d437602532&fccid=86228da7e23c73a2&vjs=3,Reporting and Data Analyst - Product,BuzzBoard,Remote,N/A,PostedPosted 30+ days ago
180,https://in.indeed.com/rc/clk?jk=6e80a902f25c9545&fccid=1c76c3a36f6c7557&vjs=3,ESG Data Analyst,UBS,"Mumbai, Maharashtra",N/A,PostedPosted 3 days ago
181,https://in.indeed.com/rc/clk?jk=15f4946cccc2eb00&fccid=6576e7250aa78c3c&vjs=3,"Data Analyst - Growth, Marketing & Sales - Periscope",McKinsey & Company,"Gurgaon, Haryana",N/A,PostedPosted 4 days ago
182,https://in.indeed.com/rc/clk?jk=449d18c6b0a7959c&fccid=b95f9eb47968fa13&vjs=3,Data Analyst (Tableau & SQL),Boston Consulting Group,"New Delhi, Delhi",N/A,PostedPosted 30+ days ago
183,https://in.indeed.com/rc/clk?jk=d2ee7f9ad0fb70b2&fccid=ccdb80a8fb2b867e&vjs=3,Data Analyst,KlearNow,"Gurgaon, Haryana",N/A,PostedPosted 30+ days ago
184,https://in.indeed.com/rc/clk?jk=4c47040bb4f13cc8&fccid=3cee109f5b559f3f&vjs=3,Analyst – Decision Science,DROOM,"Gurgaon, Haryana",N/A,PostedPosted 10 days ago
185,https://in.indeed.com/rc/clk?jk=945dd06e303c0e78&fccid=5dfd33cf35859b27&vjs=3,Data Analyst,Docon,"Bengaluru, Karnataka",N/A,PostedPosted 30+ days ago
186,https://in.indeed.com/rc/clk?jk=b99597d327088ec3&fccid=7e4d1374c9b09aad&vjs=3,Data Science/Data Analyst,FINDOC INVESTMART PVT. LTD.,"Ludhiana, Punjab",N/A,PostedPosted 30+ days ago
187,https://in.indeed.com/rc/clk?jk=cea28fc6d0c3ef08&fccid=9012b86088a0c4fe&vjs=3,Data Analytics Intern,Elegant Auto Retail,"Noida, Uttar Pradesh",N/A,PostedPosted 30+ days ago
188,https://in.indeed.com/rc/clk?jk=81ffd8754897cc85&fccid=38ae06ed470b23b3&vjs=3,Data Analyst,LeadSquared,"Bengaluru, Karnataka",N/A,PostedPosted 1 day ago
189,https://in.indeed.com/rc/clk?jk=baca4461f6348ad7&fccid=c2a63affe8751868&vjs=3,Data Analyst,CAPCO,"Bengaluru, Karnataka",N/A,PostedPosted 30+ days ago
190,https://in.indeed.com/rc/clk?jk=cb9f77761b8d1e18&fccid=810445fed17a103f&vjs=3,Data Analyst,PiWheel,India,N/A,PostedPosted 30+ days ago
191,https://in.indeed.com/rc/clk?jk=551f7ca79f541677&fccid=a5b4499d9e91a5c6&vjs=3,"Data Analyst, Trust and Safety",Google,"Hyderabad, Telangana",N/A,PostedPosted 30+ days ago
192,https://in.indeed.com/rc/clk?jk=da7f3c95e8402078&fccid=afe30394bfba1470&vjs=3,Process Developer– Data Analyst,Genpact,"Noida, Uttar Pradesh",N/A,PostedPosted 30+ days ago
193,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DaDeacnyAcjR_xPF4_AGi9kgHcHfBbAiGbTrdK88lQNY5pQ5uyVl0a5mOI3CuhKFh9WmIRd5lkl0Noahv2VpY27dDMU3MbknFFQ0W0uPuJmKnaszetuVvkmkYEZxelouqpobHsO6FMfGwRo2S-XiZClv8GU1oh6yrH5sTmgSeI-V-a1ONMnqdOAWvVPbAJNYoq_zIIWfQrFQzW0v47Gv9TxejbJuUNNh1bfLzDU8W-VDDwhC_lLMEoPMsfKXP6T9iHa7AexY6h7dOc4D8QmgAAlsE6nO6Pwc2O96OQ_OIV2dQ3_RnOymwzb_iD-3IO9E-1otSeSq7kjpGV5TpyHdP3zvwLyfANLOTxMovj8xQT3TSFfIMzfdDM6Jq_cj1oOr_RudOgWO7n4vxkbC7qS6XuwMqg6kD8YIPy_iw_BjzEL3YMu8ldyfIrmwT-xSB_N4PvqVAjfC3fBG0bjlOJFcMIvFIW25HoMktyf2YdRrXhWaiJf2bWDhlylXHvCLw4Eo6yfpvxiCaMlAmKkBNaj-veGy04X9tibAxfH4h3cXy8Cq8GMyZsAFPw9Oqro7qxlw4CQG8QrhmVDbOBzmKHwkyHnWCbhoxLNBSxWwfeqGUiekbsQ9AkU4vcvESwInpNLUVyiTJous4wKNz7WQfs2zuVhorEtVPCENAUg8IVXBqQGNq6T8bdjizrYAyk0HyxhvgsMl0X8FtYqc9PA70W0NrT6kyKk7PC0rNgg7NTSYjGVLWnFY8rpy5rAzEKTSWDWkka0pQwFSkWUihOMTnV5c2PHvM5ISbmuQAcypH9_6HqVOD1tV-8oddKlPWTRTcZ_kaf5cY13oQj62ouqRrfz2E1-QpZDzdkJwcpIfqv9wbjJrpBzCLSHL2QACB-WP-0QJZD7UB4u8p6rRGAmo2PlDluhkCUM5Cgv59NMEW0LlzGfZl0guKEKyyXZMQNOEM1cuqeNWsexeaECnW6Sc6NAaNSaal9oM6NHZ3xe8dT4BtORg0Ry6DwWLty&xkcb=SoAa-_M3UsUv_hAXvz0KbzkdCdPP&p=12&fvj=0&vjs=3,Sr. Business Analyst - Celonis Job,Yash Technologies Private Limited,"Pune, Maharashtra",N/A,PostedPosted 10 days ago
194,https://in.indeed.com/rc/clk?jk=aece64b2504010d7&fccid=6b00a6e6d6ab92b6&vjs=3,Research Analyst,Incisive Research,"Delhi, Delhi",N/A,PostedPosted 30+ days ago
195,https://in.indeed.com/rc/clk?jk=514c46019f7d7479&fccid=9102c38c15134e6c&vjs=3,Data Analyst,Maruti Suzuki India Ltd,"New Delhi, Delhi",N/A,PostedPosted 30+ days ago
197,https://in.indeed.com/rc/clk?jk=53a92f3c76e3c073&fccid=1c76c3a36f6c7557&vjs=3,Data Analyst,UBS,"Mumbai, Maharashtra",N/A,PostedPosted 17 days ago
198,https://in.indeed.com/rc/clk?jk=76569980d384e65a&fccid=9e4a4e3d3d25ca54&vjs=3,Product Analyst,Monotype,"Noida, Uttar Pradesh",N/A,PostedPosted 4 days ago
199,https://in.indeed.com/rc/clk?jk=9ac3f2f26325412d&fccid=16fc59ea17b815b1&vjs=3,Data Analyst,Cloud Certitude,"Gurgaon, Haryana",N/A,PostedPosted 30+ days ago
200,https://in.indeed.com/rc/clk?jk=248c705703e040ee&fccid=da7e1600bc3a6336&vjs=3,Data Analyst,Wiser Solutions,Remote,N/A,PostedPosted 30+ days ago
201,https://in.indeed.com/rc/clk?jk=297b7230ac024a5c&fccid=af103eaff391cdf0&vjs=3,Data Analyst,Lenovo,"Bengaluru, Karnataka",N/A,PostedPosted 23 days ago
202,https://in.indeed.com/rc/clk?jk=0cb89a45d10aa81b&fccid=3bcf7eb192e678e4&vjs=3,Analyst - Data & Analytics,General Mills,"Remote in Mumbai, Maharashtra",N/A,PostedPosted 30+ days ago
203,https://in.indeed.com/rc/clk?jk=bfd90f1254ad664b&fccid=146443e77d8c0778&vjs=3,EIM Data Analyst,Virtusa,"Hyderabad, Telangana",N/A,PostedPosted 30+ days ago
204,https://in.indeed.com/rc/clk?jk=4eef13d1ed3c4516&fccid=4c2e4bb7de15c14b&vjs=3,Data QA Analyst,DarioHealth,"Delhi, Delhi",N/A,PostedPosted 30+ days ago
205,https://in.indeed.com/rc/clk?jk=1322ff970ce1c793&fccid=32006ab449771908&vjs=3,Analyst,Escalent,"Hybrid remote in Noida, Uttar Pradesh",N/A,PostedPosted 30+ days ago
206,https://in.indeed.com/company/TECHTORY/jobs/Business-Data-Analyst-4d06b9e6071ed895?fccid=95362d1dffd6879a&vjs=3,Business Data Analyst,Techtory,Remote,N/A,PostedPosted 2 days ago
207,https://in.indeed.com/rc/clk?jk=a7262448d8b67d38&fccid=92491992cadee0f4&vjs=3,Data Analyst - NDHM - Delhi,NISG (National Institute for Smart Government),"New Delhi, Delhi",N/A,PostedPosted 30+ days ago
209,https://in.indeed.com/rc/clk?jk=81ed6249cc4a1bf8&fccid=d0cca4c682d52964&vjs=3,Jr. Data Analyst,Armorblox,"Bengaluru, Karnataka",N/A,PostedPosted 30+ days ago
210,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DaDeacnyAcjR_xPF4_AGi9kgHcHfBbAiGbTrdK88lQNY5pQ5uyVl0a5mOI3CuhKFh9WmIRd5lkl0Noahv2VpY27dDMU3MbknFFQ0W0uPuJmKnaszetuVvkmkYEZxelouqpobHsO6FMfGwRo2S-XiZClv8GU1oh6ypx1RNIdqHNjo7xgGyX3Cd22_XifFqBif2sIm5yG72bVS4kZb_aCBGLtRmvNNpp8dLnbtM7LGZ-v0ENm_vTqKNq65z-vgRyvkOCQ0bVyxtoHtO0I0FhNuAga5hWTsSQeoS5plBoGNzUkQXOY-ZrSaI06AYX2tZuaAoo2ddni9cmd-XUlfwkzFPleNWpnaJVZI3sQiQNYxy0wa_ByGBpglZrFHHWv1QfbPjypzxlynPRyXAhIzY49VDCe2RG7EhUt99yOHkWOgEJhXn-5J59dSZJOZEt-NJGJU51GbVguj8375qiSaiAR_TOUQ-QPHH6hj_iEfB5SL2heGB08aiF5TT8Ccb0FDPNoVRwf6Z6NDVGPTtPoyWh0bgwRIZPnSowEmo83Rxz1W5WKoTwtXnw_oRS-hg5sSvo24GagkM6pV422qgMkEPCka4pfSg452bbwmr892HRJDAM8gCAW0bHIjsuak4fgvcbIfCwfq5Qg4njgihEHKXc8eMgbCi1X9iDgkgrLJEhJTsOBeVHBcuqxnw0tjdgrEvP_pRlJ8pddo0pG2GzYKySFgguYdOJ2RzYjfXsr-APZjIRjYfrW7YNPKI376wlAT0MhdBvifJRFRqxUH5zgYo7DAKeHbBrRL4w4qQC4V3EQwQ3AQwFwZPCjv2FiTypXPkrol5IsDeaW1iPJNBn2BEHOoz7D312rZYMCA93ctHSW-0yDf3l2cxKYSOCh22PlmXUiOSbXWkJXz2Pz97yPU2H5980ic5U2JRwO-WpBY8vXizIj7HmK6e02YzsDesLpbb9_FzoTPOdB_T-p9BOXaZbIIsa1B8dFj8fhTWeYj1vWMpsOTVsLKMlX02T&xkcb=SoBU-_M3UsUvuzxZdJ0LbzkdCdPP&p=14&fvj=0&vjs=3,Sr. Business Analyst - Celonis Job,Yash Technologies Private Limited,"Pune, Maharashtra",N/A,PostedPosted 10 days ago
211,https://in.indeed.com/rc/clk?jk=2bb75894f3a5585f&fccid=0df10455e15e563f&vjs=3,Junior Data Analyst,Digit88 Technologies,"Remote in Bengaluru, Karnataka",N/A,PostedPosted 30+ days ago
212,https://in.indeed.com/rc/clk?jk=1924476143c55665&fccid=ca6b11acb688b5dd&vjs=3,Data Analyst,Futures First,"Jaipur, Rajasthan",N/A,PostedPosted 17 days ago
213,https://in.indeed.com/rc/clk?jk=def958d979993c7c&fccid=a6b47f639f312f82&vjs=3,Research Analyst,MarketJoy,"Kharadi, Pune, Maharashtra",N/A,PostedPosted 6 days ago
214,https://in.indeed.com/rc/clk?jk=1722c6d994cdee07&fccid=0c91ae29cf5f9aaf&vjs=3,Data Analyst,UpScalio,"Gurgaon, Haryana",N/A,PostedPosted 30+ days ago
215,https://in.indeed.com/rc/clk?jk=0b5b5d4d8bae1c39&fccid=50208b5bf45ee3b8&vjs=3,Logistics Analyst I,Honeywell,"Gurgaon, Haryana",N/A,PostedPosted 3 days ago
217,https://in.indeed.com/rc/clk?jk=44a9dfc2e1de201d&fccid=65ce5d56294acb59&vjs=3,Data Analyst,Bombay Play,"Bengaluru, Karnataka",N/A,PostedPosted 30+ days ago
218,https://in.indeed.com/rc/clk?jk=895d75bf46ea3a70&fccid=fa90f1e7ecddfb61&vjs=3,DATA ANALYST,GreedyGame Media,"Bengaluru, Karnataka",N/A,PostedPosted 10 days ago
220,https://in.indeed.com/rc/clk?jk=684a14d488ca7c7e&fccid=0a9666f2a6fd9d86&vjs=3,Data Analyst Intern,OPK eServices,"Gurgaon, Haryana",N/A,PostedPosted 30+ days ago
221,https://in.indeed.com/rc/clk?jk=d7615645831e42d2&fccid=8941c263dde4fd12&vjs=3,Research Analyst / Junior Research Analyst,Refract Consulting,"Gurgaon, Haryana",N/A,PostedPosted 30+ days ago
222,https://in.indeed.com/rc/clk?jk=863c213a3612b755&fccid=cb1a06387eb05588&vjs=3,Data Analyst,Canalys,"Bengaluru, Karnataka",N/A,PostedPosted 6 days ago
223,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DaDeacnyAcjR_xPF4_AGi9kgHcHfBbAiGbTrdK88lQNY5pQ5uyVl0a5mOI3CuhKFh9WmIRd5lkl0Noahv2VpY27dDMU3MbknFFQ0W0uPuJmKnaszetuVvkmkYEZxelouqpobHsO6FMfGwRo2S-XiZClv8GU1oh6yokSSJq9NfehglZUZNRhtcHdTx5q6r8Kse3eHYzWA5wmTeriKXOzGaexEbsXH6ZP2bDrOYpl8s9t5P1kNw5PyM9Vpyaw2k0JFGxWzVMu1a-EJ-MrtorazoUtVChYS0bKMj1zuZd-eSZUqS0todi5fIapk7tlLvIHOBdieLBgNRnl7v0D9K5ObLZa7k55XcCtOgmmdd6IQBTmoayzTSsGZSfXpT9g8az2bDadEIjO8Uv2r0CQDY6hq4gYvYXbtFMC_pDvaE5s5y9smXNKvu_xeakCuJc9fWGcZ2o2wDSFja2GH9QBuyQ7QhRHGiX8MDJseQSdrDGwWI5FX9kME7O2jsOUUcb_Wt2OxX0po1Mzi78u4uvf1_KJMDN9On8h-I5Lbhm-71FgfXtF6SfFtwiuU5pgJBXS437VKQIozY01KQtD4G5r46fwISwFJAsngwRZyXwmvrQP_yOEYB0B5p-mKYPVHfkG5xXRWuI4p6CYn47cWXJ_zStMar4HAo80b-9bx1eT6oIAZRHQXVAulL-QUVSr9Zrc94WdCVb67VLWMZUzojt-ne1Mdds9DIyUaCZu7Fg9NKyqDgVJbT8_FIp34pF30Xjfck7hLBxOLiIkpuoycHR85Y5TUvq6VSYiTVZK8-k0KorwM44zhrxDsW-l-tWr8sQTWLRsDlQl4LS64EV5NZhoV8zgGATnCWKLQoUvecIXRxOQH0gDcp_G73NLp-eq_L_CX0wrqdJCr0Yd1fT_rzRThBQeSGJ4emqmezxSDyV_VJ9pqLHrWTMyWnbJu8C0BCvUFrQmQG8b9jkylqd63qZydgJJzy8hNecsD6fjExrf9ZhYp_wFRRpUgV4ddeP&xkcb=SoAn-_M3UsUvfCgGqr0IbzkdCdPP&p=12&fvj=0&vjs=3,Sr. Business Analyst - Celonis Job,Yash Technologies Private Limited,"Pune, Maharashtra",N/A,PostedPosted 10 days ago
224,https://in.indeed.com/rc/clk?jk=5b28320e50a34a7d&fccid=6a150dec85ea3d84&vjs=3,"Sales, Sales Strategic Analyst",Indospirit,"Okhla, Delhi, Delhi",N/A,PostedPosted 1 day ago
225,https://in.indeed.com/rc/clk?jk=dc31ef4dfe5cc3a1&fccid=531af5efc7c07cf1&vjs=3,Passionate Data Analyst,LogisticsNow,"Mumbai, Maharashtra",N/A,PostedPosted 30+ days ago
226,https://in.indeed.com/rc/clk?jk=e4984bf4dc69950f&fccid=b486aa3e21d764be&vjs=3,Analyst,Gamma,"Noida, Uttar Pradesh",N/A,PostedPosted 3 days ago
227,https://in.indeed.com/rc/clk?jk=1945473b851d83d5&fccid=5c739db0093eaeba&vjs=3,Data Analyst - Intern,ReshaMandi,"Bengaluru, Karnataka",N/A,PostedPosted 4 days ago
228,https://in.indeed.com/rc/clk?jk=c73e1055b3c3ffcf&fccid=cd22d01053af7669&vjs=3,Analyst - Global Customer Data - Updates and Maintenance,Oracle,"Bengaluru, Karnataka",N/A,PostedPosted 8 days ago
229,https://in.indeed.com/rc/clk?jk=04087bd8beb7462e&fccid=b716e44d2c6283e7&vjs=3,Research Analyst I,S&P Global,"Gurgaon, Haryana+1 location",N/A,PostedPosted 19 days ago
230,https://in.indeed.com/rc/clk?jk=69503b01a1cf74fe&fccid=146443e77d8c0778&vjs=3,Reporting Analyst,Virtusa,"Gurgaon, Haryana",N/A,PostedPosted 1 day ago
231,https://in.indeed.com/rc/clk?jk=909816a7750aa309&fccid=9102c38c15134e6c&vjs=3,Data Analyst - IAU,Maruti Suzuki India Ltd,"Gurgaon, Haryana",N/A,PostedPosted 30+ days ago
232,https://in.indeed.com/rc/clk?jk=349e635bf826b6a4&fccid=af896ac2e7e497a8&vjs=3,Data Analyst,Bar Code India,"Gurugram, Haryana",N/A,PostedPosted 30+ days ago
233,https://in.indeed.com/rc/clk?jk=bb76041c5bb0d77f&fccid=1171e43a882643a9&vjs=3,MIS & Data Analytics,Megara Infotech,"Gurgaon, Haryana",N/A,PostedPosted 30+ days ago
235,https://in.indeed.com/rc/clk?jk=5bf0cbeba34ae917&fccid=7aab6942bb26b106&vjs=3,Data Analyst,JioSaavn,"Gurgaon, Haryana",N/A,PostedPosted 30+ days ago
236,https://in.indeed.com/rc/clk?jk=f08390c9cf65fe55&fccid=ff375204322da165&vjs=3,Data Analyst,ORBIT Technical Solutions,"Mohali, Punjab",N/A,PostedPosted 30+ days ago
237,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DaDeacnyAcjR_xPF4_AGi9kgHcHfBbAiGbTrdK88lQNY5pQ5uyVl0a5mOI3CuhKFh9WmIRd5lkl0Noahv2VpY27dDMU3MbknFFQ0W0uPuJmKnaszetuVvkmkYEZxelouqpobHsO6FMfGwRo2S-XiZClv8GU1oh6yoYSlhkLY0REGUTOutRCvDqcLvHGE2FALrmtwbNafKcMwe5kJRDs4no_Vxsv1KCFjgXV8oAVo4FrWuhqoTSPsdHhbbYezkIOdpHjLXFSXMCq8N3xTTj2Al03uaa5QeGzuGcbhcggWbdfSIp_MX9igmVbCFPAgUS1y9j2aDd8c19l3eIddCSQOxCq-EG97HGXjrmi9e-drgfIym6sk5_W7fk9gNgdcehfI9FrHWVThfIVlCe_jZNGSm9aJzFcYAZrHmYiiLs63LctAkrh4dJRgbM7wZ-HaWTOpNmNKZzZTXw36J2L_-uOWCtVQDmmgcq0p2Q6KEvV2uJjWyJUc6LJTEQmqFuUPWHrX3Uq20ec5NN-xSwGI2uo09YbBsmXvWDgPa1y2DT-osjS1vuRnhWnbVIs75QEuywZEjS4SFNiUwwuIP5hVDP8vqmTyuHA6WD-Zhv8Ub105V7YpjhJux6gEEHHHqxPm3GH4u-bVQ2MWNdjN4KxQNb-32UmHKLAMNxa76wZv3mQYHEkgP53non6041Q6BrT1HOuAgrgnJ8qEKZDypd_OGR2oMxdnNr_uMuJ1JvSN8dLjRdV0vlcDNvVlaHEcvhY1ionFgMH9RWw0efDFV2k2ulk_E77w6dPZOM4HIwjjnXeEsX1WnQ0Zx6CwZ9iP3qCeAuFV-Nu_H19nsOmQHKWQBN0HRYdwM-sKEXo-RvGQ6Qm82tTF_MZvL5XkF_eYVdOLQwRG0tllAF6r2P8nA2Ny7rs33_hQLDcxPNsUfvAMsqWl5_KqDle0e3FSbPVaBaoaUkfkTR44WD1wDZuUOHlRcJZPgiibvJKTTv18NRBBUni-G-xUqYxGo3bB0v&xkcb=SoC9-_M3UsUvLERr9p0LbzkdCdPP&p=11&fvj=0&vjs=3,Sr. Business Analyst - Celonis Job,Yash Technologies Private Limited,"Pune, Maharashtra",N/A,PostedPosted 10 days ago
238,https://in.indeed.com/rc/clk?jk=cc33e9ff1d5c97a7&fccid=8a90a0ee1d8ff04d&vjs=3,Data Analyst - 10,Michelin,"Pune, Maharashtra",N/A,PostedPosted 30+ days ago
239,https://in.indeed.com/rc/clk?jk=7650bbf6be0c8f5e&fccid=66277ad703a4ab3f&vjs=3,Data Analyst,Feathersoft,"Kochi, Kerala",N/A,PostedPosted 16 days ago
240,https://in.indeed.com/rc/clk?jk=aa4f3f0eb47c27bc&fccid=9e215d88a6b33622&vjs=3,USI-EH22-EA-CMG-Tech CoE-Pursuits Data Analyst-A/SA,Deloitte,"Hyderabad, Telangana",N/A,PostedPosted 30+ days ago
241,https://in.indeed.com/rc/clk?jk=6d2269bbff93b125&fccid=c46d0116f6e69eae&vjs=3,CCB_Financial Data Analyst,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",N/A,PostedPosted 2 days ago
