,Link,Title,Company,Location,Salary,Days
860,https://in.indeed.com/company/ATeam-Soft-Solutions-Pvt-Ltd/jobs/Business-Analyst-80f8e9bebd5c75a6?fccid=d3c26c9bbe4a1728&vjs=3,Business Analyst,ATeam Soft Solutions Pvt Ltd,"Remote in Thiruvananthapuram, Kerala","Up to ₹40,000 a month",EmployerActive 2 days ago
984,https://in.indeed.com/company/Sadhguru-Consulting/jobs/Information-Technology-Business-Analyst-58d6be324c0294b3?fccid=045fc3763fd50467&vjs=3,Information Technology Business Analyst (Only Female) Delhi,Sadhguru Consulting,"Delhi, Delhi","Up to ₹50,000 a month",EmployerActive 7 days ago
196,https://in.indeed.com/company/Largetech-Solutions-Pvt.-Ltd/jobs/IT-Business-Analyst-00e59e8af32353e6?fccid=3f9efcce521a926b&vjs=3,IT Business Analyst,Largeton Solutions Pvt. Ltd,"Noida, Uttar Pradesh","Up to ₹60,000 a month",EmployerActive 3 days ago
368,https://in.indeed.com/company/Largetech-Solutions-Pvt.-Ltd/jobs/IT-Business-Analyst-00e59e8af32353e6?fccid=3f9efcce521a926b&vjs=3,IT Business Analyst,Largeton Solutions Pvt. Ltd,"Noida, Uttar Pradesh","Up to ₹60,000 a month",EmployerActive 3 days ago
234,https://in.indeed.com/company/Elvira-technologies/jobs/Market-Analyst-ca271b7bc83be44d?fccid=46933884c0b807ac&vjs=3,Market Analyst,elvira technologies,"Gurgaon, Haryana","Up to ₹9,74,778 a year",EmployerActive 11 days ago
441,https://in.indeed.com/company/Elvira-technologies/jobs/Market-Analyst-ca271b7bc83be44d?fccid=46933884c0b807ac&vjs=3,Market Analyst,elvira technologies,"Gurgaon, Haryana","Up to ₹9,74,778 a year",EmployerActive 11 days ago
925,https://in.indeed.com/company/Techieshubhdeep-IT-Solutions-Pvt.-Ltd./jobs/Statistical-Analyst-2ec4866d6d91874f?fccid=b195844ce24d8fbc&vjs=3,Statistical Analyst,Techieshubhdeep IT Solutions Pvt. Ltd.,"Gwalior, Madhya Pradesh","₹1,20,000 - ₹2,40,000 a year",EmployerActive 3 days ago
931,https://in.indeed.com/company/PBI-Analytics/jobs/Business-Intelligence-Data-Engineer-f699d2bf1bb91c62?fccid=d4aa60902c812037&vjs=3,Business Intelligence & Data Engineer,PBI Analytics,"Remote in Mumbai, Maharashtra","₹1,20,000 - ₹3,50,000 a year",EmployerActive 3 days ago
107,https://in.indeed.com/company/Irizpro-Learning-Solutions-LLP/jobs/Data-Analyst-5c8cca58af63aaa6?fccid=6b442c36fc2e2afc&vjs=3,DATA ANALYST / DATA SCIENTIST,Irizpro Learning Solutions LLP,"Bengaluru, Karnataka","₹1,400 - ₹1,500 an hour",EmployerActive 1 day ago
305,https://in.indeed.com/company/Apex-covantage-india-private-limited/jobs/Data-Analyst-b2f3323d2d7db336?fccid=575a72201fb67e22&vjs=3,DATA ANALYST,Apex covantage india private limited,"Guindy, Chennai, Tamil Nadu","₹1,70,000 - ₹2,50,000 a year",EmployerActive 11 days ago
49,https://in.indeed.com/company/Eduno-Tech-Private-Limited/jobs/Data-Analyst-f29c720c061d07b0?fccid=7cb54562f9d0365e&vjs=3,Data Analyst,Eduno Tech Private Limited,"Rewari, Haryana","₹1,80,000 - ₹3,00,000 a year",EmployerActive 4 days ago
78,https://in.indeed.com/company/Valiance-Solutins/jobs/Business-Analyst-Data-Analyst-084387d32c15a9ab?fccid=6ca4422cdeec66ee&vjs=3,"Business Analyst/Data Analyst(Python, Sql,(Onsite )",Valiance Solutins,"Gurgaon, Haryana","₹10,00,000 - ₹30,00,000 a year",EmployerActive 2 days ago
169,https://in.indeed.com/company/Valiance-Solutins/jobs/Product-Analyst-fec3cfa41467a935?fccid=6ca4422cdeec66ee&vjs=3,Product Analyst,Valiance Solutins,"Gurgaon, Haryana","₹10,00,000 - ₹30,00,000 a year",EmployerActive 1 day ago
349,https://in.indeed.com/company/Valiance-Solutins/jobs/Product-Analyst-fec3cfa41467a935?fccid=6ca4422cdeec66ee&vjs=3,Product Analyst,Valiance Solutins,"Gurgaon, Haryana","₹10,00,000 - ₹30,00,000 a year",EmployerActive 1 day ago
159,https://in.indeed.com/company/prwatech-technologies/jobs/Data-Analyst-7e3c3e6fb5887381?fccid=0813ccde346809b2&vjs=3,Data Analyst,prwatech,"Pune, Maharashtra+1 location","₹10,000 - ₹20,000 a month",EmployerActive 5 days ago
891,https://in.indeed.com/company/Agrawal-Corporate/jobs/Equity-Research-Analyst-5d56c0485fa30ebc?fccid=ec3ea271bec52840&vjs=3,Equity Research Analyst,Finowings Training Academy Pvt. Ltd.,"Lucknow, Uttar Pradesh","₹12,000 - ₹40,000 a month",EmployerActive 1 day ago
176,https://in.indeed.com/company/Timeline-Freight-Brokers-India-Pvt.-Ltd./jobs/Data-Analyst-ad9c2e22871759fd?fccid=244218437b710ab5&vjs=3,Data Analyst,Timeline Freight Brokers India Pvt. Ltd.,"Mohali, Punjab","₹15,000 - ₹20,000 a month",EmployerActive 1 day ago
431,https://in.indeed.com/company/Ergode-IT-Services-Pvt.-ltd./jobs/Data-Analyst-417627b5ad4f05af?fccid=1e42f15c10952826&vjs=3,Data Analyst,Ergode IT Services Pvt. ltd.,"Mumbai, Maharashtra","₹15,000 - ₹20,000 a month",EmployerActive 1 day ago
